title,link,company
Sr. Backend Engineer - World's first Serverless Super Cloud Startup - Remote,https://stackoverflow.com/jobs/423582/sr-backend-engineer-worlds-first-serverless-source-coders-inc,Source Coders Inc
Backend Software Engineer (Go),https://stackoverflow.com/jobs/409540/backend-software-engineer-go-avenue,Avenue
Senior Go Backend Developer (m/f/x),https://stackoverflow.com/jobs/287208/senior-go-backend-developer-m-f-x-refurbed,refurbed
Senior Go Engineer,https://stackoverflow.com/jobs/427852/senior-go-engineer-shogun-labs-inc,"Shogun Labs, Inc"
Senior Software Engineer (Go) - 100% remote (UK/EU only),https://stackoverflow.com/jobs/230221/senior-software-engineer-go-100-remote-uk-form3-financial-cloud,Form3 - Financial Cloud
"Software Engineer, Golang",https://stackoverflow.com/jobs/412873/software-engineer-golang-air-map,Air Map
"Senior Software Engineer (Golang, Platform) - 100% remote (UK/EU only)",https://stackoverflow.com/jobs/392921/senior-software-engineer-golang-platform-avy-finans-ab,Avy Finans AB
"Senior full-stack engineer (Go, React, AWS)",https://stackoverflow.com/jobs/417931/senior-full-stack-engineer-go-react-aws-arcivr,Arcivr
Senior Software Engineer - Golang,https://stackoverflow.com/jobs/426019/senior-software-engineer-golang-andela,Andela
Golang Developer,https://stackoverflow.com/jobs/430806/golang-developer-bairesdev-llc,BairesDev LLC
Senior Software Engineer (Go specialist),https://stackoverflow.com/jobs/408448/senior-software-engineer-go-specialist-netdata-inc,NetData Inc.
Senior Go Developer (Remote),https://stackoverflow.com/jobs/235208/senior-go-developer-remote-x-team,X-Team
Senior Software Engineer (Java & Golang) - Heavily Invested Tech Start Up,https://stackoverflow.com/jobs/425376/senior-software-engineer-java-golang-matillion,"Matillion
                        via
MRJ Recruitment"
Senior Backend Engineer,https://stackoverflow.com/jobs/414864/senior-backend-engineer-tutorme,TutorMe
Senior Software Engineer (DevSecOps) - 100% remote (UK/EU only),https://stackoverflow.com/jobs/373270/senior-software-engineer-devsecops-100-form3-financial-cloud,Form3 - Financial Cloud
Senior Software Engineer - Backend,https://stackoverflow.com/jobs/412297/senior-software-engineer-backend-restream,Restream
Tryouts Open for a Full-Stack Developer,https://stackoverflow.com/jobs/413173/tryouts-open-for-a-full-stack-developer-gamesheet-inc,GameSheet Inc.
Software Engineer - Backend,https://stackoverflow.com/jobs/423180/software-engineer-backend-blameless,Blameless
Senior Software Engineer,https://stackoverflow.com/jobs/285541/senior-software-engineer-carbon-relay,Carbon Relay
Senior Backend Engineer,https://stackoverflow.com/jobs/410147/senior-backend-engineer-all-turtles,All Turtles
Full-Stack Developer,https://stackoverflow.com/jobs/307185/full-stack-developer-charidy,Charidy
